1,Villa Rinascere,"balcone, wifi gratuito, riscaldamento autonomo, bagno privato, frigo.",Villa
2,Appartamento Nuova Vita,"letto confortevole, riscaldamento autonomo, wifi gratuito, frigo, cucina attrezzata.",Monolocale
3,Monolocale Luce,"bagno privato, aria condizionata, balcone, tv, wifi gratuito.",Monolocale
4,Oasi Tranquilla,"spazio di lavoro, riscaldamento autonomo, cucina attrezzata, letto confortevole, aria condizionata.",Monolocale
5,Nido Accogliente,"tv, spazio di lavoro, aria condizionata, letto confortevole, riscaldamento autonomo.",Villa
6,Nido Accogliente,"cucina attrezzata, tv, riscaldamento autonomo, letto confortevole, aria condizionata.",Residenza
7,Rifugio Serena,"balcone, bagno privato, cucina attrezzata, riscaldamento autonomo, frigo.",Casa condivisa
8,Villa Rinascere,"balcone, frigo, aria condizionata, cucina attrezzata, riscaldamento autonomo.",Monolocale
9,Appartamento Nuova Vita,"riscaldamento autonomo, letto confortevole, wifi gratuito, spazio di lavoro, balcone.",Monolocale
10,Oasi Tranquilla,"spazio di lavoro, riscaldamento autonomo, tv, cucina attrezzata, bagno privato.",Appartamento
